Task,Dataset,Library,Hydrolysis_Method_ID,Hydrolysis_Method,Enzyme(s),Probability_Tier,Probability group,Count,Unique sequences,Mean_Probability,Median_Probability,Mean_Length,Download_File,Pool file,Filtered file,N/C terminal analysis,MEME output,Status
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ThePap,Thermolysin + Papain,Thermolysin + Papain,>= 0.85,>= 0.85,2377,2377,0.8831854475693356,0.8812014681108873,6.109381573411864,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ThePap_gte_0.85.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ThePap_gte_0.85.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ThePap_gte_0.85.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ThePap,Thermolysin + Papain,Thermolysin + Papain,>= 0.90,>= 0.90,561,561,0.9126858790468202,0.911415814223104,5.978609625668449,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ThePap_gte_0.90.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ThePap_gte_0.90.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ThePap_gte_0.90.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,PepPan,Pepsin + Pancreatic,Pepsin + Pancreatic,Reported,Reported,69,69,0.8152956547732113,0.9076300665445332,2.420289855072464,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_PepPan.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_PepPan.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_PepPan.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,PepPan,Pepsin + Pancreatic,Pepsin + Pancreatic,No reported,No reported,138310,138310,0.2679297532499324,0.1706844644302242,5.987188200419348,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_PepPan.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_PepPan.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_PepPan.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,PepPan,Pepsin + Pancreatic,Pepsin + Pancreatic,< 0.50,< 0.50,116503,116503,0.1857783516052238,0.1450205049570227,5.940945726719484,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_PepPan_lt_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_PepPan_lt_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_PepPan_lt_0.50.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,PepPan,Pepsin + Pancreatic,Pepsin + Pancreatic,>= 0.50,>= 0.50,21876,21876,0.7071623822963112,0.699288304950674,6.222206984823551,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_PepPan_gte_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_PepPan_gte_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_PepPan_gte_0.50.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,PepPan,Pepsin + Pancreatic,Pepsin + Pancreatic,>= 0.85,>= 0.85,4450,4450,0.8963328584897138,0.8974763194786937,6.164269662921348,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_PepPan_gte_0.85.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_PepPan_gte_0.85.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_PepPan_gte_0.85.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,PepPan,Pepsin + Pancreatic,Pepsin + Pancreatic,>= 0.90,>= 0.90,2084,2084,0.919756081590842,0.920403453202166,6.0580614203454894,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_PepPan_gte_0.90.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_PepPan_gte_0.90.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_PepPan_gte_0.90.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ProteinaseK,Proteinase K,Proteinase K,Reported,Reported,65,65,0.8304656499649318,0.9075220563001604,2.6769230769230767,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_ProteinaseK.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_ProteinaseK.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_reported_ProteinaseK.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ProteinaseK,Proteinase K,Proteinase K,No reported,No reported,188853,188853,0.2426160722707152,0.147876020491166,6.409937888198757,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_ProteinaseK.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_ProteinaseK.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_no_reported_ProteinaseK.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
