hydrolysis_count,N,Reported,No_reported,Final_lt_0_50,Final_gte_0_50,Final_gte_0_85,Final_gte_0_90,Final_gte_0_95,Final_gte_0_99,Final_gte_0_999,Mean_Final_Prob,Median_Final_Prob,Mean_Length,Final_Positive_Rate_0_50
1,1898678,61,1898617,1453547,445131,104429,44258,0,0,0,0.3166209941530551,0.1984930862681095,8.67816027783542,0.2344425963749514
2,345398,35,345363,280398,65000,13217,5027,0,0,0,0.2809333600780591,0.1668298397277112,6.715004140151362,0.188188698255346
3,60229,37,60192,50063,10166,2323,964,0,0,0,0.2673925707872979,0.1562461993362199,5.575918577429477,0.1687891215195338
4,12711,30,12681,10818,1893,429,195,0,0,0,0.250876461999886,0.1424888139929112,4.715758004877665,0.1489261269766344
5,3229,33,3196,2827,402,82,39,0,0,0,0.2281444568477681,0.1293434168223483,4.161969650046454,0.1244967482192629
6,804,16,788,712,92,28,12,0,0,0,0.2281991579565563,0.1295014671456745,3.5522388059701493,0.1144278606965174
7,218,23,195,182,36,18,10,0,0,0,0.258714891568688,0.1225940003098025,2.770642201834862,0.1651376146788991
8,54,8,46,44,10,6,5,0,0,0,0.2849564408439221,0.1526787930572821,2.259259259259259,0.1851851851851851
9,21,5,16,16,5,5,4,0,0,0,0.3180257115157786,0.1125272204346048,2.0,0.238095238095238
