Task,Dataset,Library,Hydrolysis_Method_ID,Hydrolysis_Method,Enzyme(s),Probability_Tier,Probability group,Count,Unique sequences,Mean_Probability,Median_Probability,Mean_Length,Download_File,Pool file,Filtered file,N/C terminal analysis,MEME output,Status
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,PepPan,Pepsin + Pancreatic,Pepsin + Pancreatic,>= 0.85,>= 0.85,4450,4450,0.8963328584897138,0.8974763194786937,6.164269662921348,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_PepPan_gte_0.85.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_PepPan_gte_0.85.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_PepPan_gte_0.85.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,PepPan,Pepsin + Pancreatic,Pepsin + Pancreatic,>= 0.90,>= 0.90,2084,2084,0.919756081590842,0.920403453202166,6.0580614203454894,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_PepPan_gte_0.90.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_PepPan_gte_0.90.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_PepPan_gte_0.90.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ProteinaseK,Proteinase K,Proteinase K,< 0.50,< 0.50,163932,163932,0.1737689487096264,0.1313088554179535,6.361656052509577,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ProteinaseK_lt_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ProteinaseK_lt_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ProteinaseK_lt_0.50.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ProteinaseK,Proteinase K,Proteinase K,>= 0.50,>= 0.50,24986,24986,0.6958481575251192,0.683082176143873,6.717001520851677,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ProteinaseK_gte_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ProteinaseK_gte_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ProteinaseK_gte_0.50.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ProteinaseK,Proteinase K,Proteinase K,>= 0.85,>= 0.85,4148,4148,0.894041342383921,0.8946852873034401,6.765429122468659,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ProteinaseK_gte_0.85.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ProteinaseK_gte_0.85.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ProteinaseK_gte_0.85.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,ProteinaseK,Proteinase K,Proteinase K,>= 0.90,>= 0.90,1796,1796,0.9183491897549,0.9184067624498832,6.708240534521158,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ProteinaseK_gte_0.90.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ProteinaseK_gte_0.90.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_ProteinaseK_gte_0.90.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Thermolysin,Thermolysin,Thermolysin,< 0.50,< 0.50,357851,357851,0.1917859410156271,0.1513054871205502,7.7814872670468995,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Thermolysin_lt_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Thermolysin_lt_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Thermolysin_lt_0.50.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Thermolysin,Thermolysin,Thermolysin,>= 0.50,>= 0.50,73373,73373,0.6917218178698614,0.6838694610153582,7.484974036771019,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Thermolysin_gte_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Thermolysin_gte_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Thermolysin_gte_0.50.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Thermolysin,Thermolysin,Thermolysin,>= 0.85,>= 0.85,10093,10093,0.8868730977693393,0.8855259284741734,7.041910234816209,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Thermolysin_gte_0.85.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Thermolysin_gte_0.85.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Thermolysin_gte_0.85.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Thermolysin,Thermolysin,Thermolysin,>= 0.90,>= 0.90,3097,3097,0.9149644465925916,0.9137192328651372,6.819179851469164,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Thermolysin_gte_0.90.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Thermolysin_gte_0.90.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Thermolysin_gte_0.90.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Papain,Papain,Papain,< 0.50,< 0.50,232406,232406,0.2005600853900356,0.1574533217940588,6.601817509014397,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Papain_lt_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Papain_lt_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Papain_lt_0.50.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Papain,Papain,Papain,>= 0.50,>= 0.50,103624,103624,0.7373666776202246,0.7513829153164902,7.058982475102293,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Papain_gte_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Papain_gte_0.50.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Papain_gte_0.50.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Papain,Papain,Papain,>= 0.85,>= 0.85,26595,26595,0.8923271572141104,0.8926052586566657,6.971686407219402,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Papain_gte_0.85.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Papain_gte_0.85.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Papain_gte_0.85.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
Bitter,"Virtual hydrolysate fragments from 21,249 proteins across 60 species",Virtual hydrolysate screening,Papain,Papain,Papain,>= 0.90,>= 0.90,10884,10884,0.9164516835973576,0.9158814204307048,6.9226387357589125,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Papain_gte_0.90.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Papain_gte_0.90.csv.gz,bitter/virtual_digest/download_files/by_hydrolysis_method/bitter_probability_Papain_gte_0.90.csv.gz,bitter/virtual_digest/tables/hydrolysis_method_bitter_summary.csv,,Ready
