method_id,method_name,source_sequences,Reported,No_reported,Reported_Rate,Final_lt_0_50,Final_gte_0_50,Final_gte_0_85,Final_gte_0_90,Final_gte_0_95,Final_gte_0_99,Final_gte_0_999,Final_Positive_Rate_0_50,Mean_Final_Prob,Median_Final_Prob,Mean_Length
ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),313149,120,313029,0.00038320416159719493,252822,60327,14226,5619,0,0,0,0.1926463121389498,0.2787713691349287,0.153832242963288,7.039965000686574
ThePap,Thermolysin + Papain,154566,60,154506,0.00038818368852140835,134560,20006,2377,561,0,0,0,0.1294333812093215,0.2399960099410294,0.1479438200036174,6.051097912865702
PepPan,Pepsin + Pancreatic,138379,79,138300,0.0005708958729286959,116503,21876,4450,2084,0,0,0,0.1580875710909892,0.2682026866228076,0.1707861228816388,5.985409635855151
ProteinaseK,Proteinase K,188918,71,188847,0.00037582443176404577,163932,24986,4148,1796,0,0,0,0.1322584401698091,0.2428183305126516,0.147919562764986,6.408653489873913
Thermolysin,Thermolysin,431224,86,431138,0.0001994323136003562,357851,73373,10093,3097,0,0,0,0.1701505482069643,0.2768503045307044,0.1806844278296977,7.73103537836484
Papain,Papain,336030,101,335929,0.00030056840163080676,232406,103624,26595,10884,0,0,0,0.3083772282236705,0.3660990143941754,0.2506123568625287,6.742796774097551
Pepsin,Pepsin (pH=1.3),437396,192,437204,0.0004389614902742595,343773,93623,21469,9145,0,0,0,0.2140463104372239,0.300967605769299,0.1828906359617076,9.415362737656494
Chymotrypsin,Chymotrypsin,458355,125,458230,0.00027271438077472703,358322,100033,24903,10584,0,0,0,0.2182435012163061,0.3024233164162454,0.1791358917388149,8.051250668150233
Trypsin,Trypsin,386104,153,385951,0.0003962662909475167,267812,118292,32084,14627,0,0,0,0.3063734123448604,0.3667885551002404,0.2556939123794932,10.0126572115285
