method_id,method_name,high_confidence_count,reported,no_reported,mean_final_prob,median_final_prob,mean_length
ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),6159,0,6159,0.9991497415343401,0.9991311,9.134275044650106
ThePap,Thermolysin + Papain,3102,0,3102,0.9991770834397163,0.9991714,8.926176660219214
PepPan,Pepsin + Pancreatic,1098,0,1098,0.9991707847632059,0.99915892,8.699453551912569
ProteinaseK,Proteinase K,577,0,577,0.9991130904332756,0.99909675,8.526863084922011
Thermolysin,Thermolysin,6252,0,6252,0.9991248765243123,0.99911087,9.207133717210493
Papain,Papain,3091,0,3091,0.9991632705726302,0.9991523,8.958589453251374
Pepsin,Pepsin (pH=1.3),2368,0,2368,0.9991213728293918,0.9991039500000001,9.169763513513514
Chymotrypsin,Chymotrypsin,4619,0,4619,0.9991281980991558,0.99911046,9.117774410045465
Trypsin,Trypsin,3837,1,3836,0.9991365543914517,0.9991179,9.292415949960906
