method_id,method_name,high_confidence_count,reported,no_reported,mean_final_prob,median_final_prob,mean_length
ChyTryPep,Chymotrypsin + Trypsin + Pepsin (pH=1.3),34154,66,34088,0.999176571685015,0.99915953,6.176026234116063
ThePap,Thermolysin + Papain,22650,47,22603,0.9992071781426047,0.9992019,5.97112582781457
PepPan,Pepsin + Pancreatic,11381,43,11338,0.9992099354274669,0.9992014,5.68772515596169
ProteinaseK,Proteinase K,7363,15,7348,0.9991441296876273,0.9991281,5.690886866766264
Thermolysin,Thermolysin,21441,12,21429,0.9991352637642833,0.9991193,6.818758453430344
Papain,Papain,19259,47,19212,0.9991948692299705,0.9991833,6.02907731450231
Pepsin,Pepsin (pH=1.3),13631,63,13568,0.9991657002061477,0.99914443,5.877411781967574
Chymotrypsin,Chymotrypsin,19568,36,19532,0.9991529824770033,0.99913482,6.458043744889616
Trypsin,Trypsin,13919,42,13877,0.999161437705295,0.99914336,6.619800273008118
