Task,Dataset,Library,Hydrolysis_Method_ID,Hydrolysis_Method,Enzyme(s),Probability_Tier,Probability group,Count,Unique sequences,Mean_Probability,Median_Probability,Mean_Length,Download_File,Pool file,Filtered file,N/C terminal analysis,MEME output,Status
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,PepPan,Pepsin + Pancreatic,Pepsin + Pancreatic,>= 0.90,>= 0.90,73631,73631,0.9864462614059448,0.996773898601532,6.092121524901197,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_PepPan_gte_0.90.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_PepPan_gte_0.90.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_PepPan_gte_0.90.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,PepPan,Pepsin + Pancreatic,Pepsin + Pancreatic,>= 0.95,>= 0.95,66964,66964,0.9922831654548644,0.9973466992378236,6.082118750373335,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_PepPan_gte_0.95.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_PepPan_gte_0.95.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_PepPan_gte_0.95.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,ProteinaseK,Proteinase K,Proteinase K,< 0.50,< 0.50,30535,30535,0.2772780954837799,0.2758640944957733,5.993384640576387,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ProteinaseK_lt_0.50.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ProteinaseK_lt_0.50.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ProteinaseK_lt_0.50.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,ProteinaseK,Proteinase K,Proteinase K,>= 0.50,>= 0.50,158383,158383,0.9018040895462036,0.980377733707428,6.488714066534919,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ProteinaseK_gte_0.50.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ProteinaseK_gte_0.50.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ProteinaseK_gte_0.50.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,ProteinaseK,Proteinase K,Proteinase K,>= 0.90,>= 0.90,108818,108818,0.98275488615036,0.9945723414421082,6.429873734124869,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ProteinaseK_gte_0.90.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ProteinaseK_gte_0.90.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ProteinaseK_gte_0.90.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,ProteinaseK,Proteinase K,Proteinase K,>= 0.95,>= 0.95,95789,95789,0.9903002977371216,0.9959546327590942,6.400139890801658,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ProteinaseK_gte_0.95.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ProteinaseK_gte_0.95.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_ProteinaseK_gte_0.95.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,Thermolysin,Thermolysin,Thermolysin,< 0.50,< 0.50,59078,59078,0.2317310571670532,0.2137784212827682,6.745962964216798,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Thermolysin_lt_0.50.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Thermolysin_lt_0.50.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Thermolysin_lt_0.50.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,Thermolysin,Thermolysin,Thermolysin,>= 0.50,>= 0.50,372146,372146,0.9315506219863892,0.9925790429115297,7.887415154267411,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Thermolysin_gte_0.50.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Thermolysin_gte_0.50.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Thermolysin_gte_0.50.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,Thermolysin,Thermolysin,Thermolysin,>= 0.90,>= 0.90,293060,293060,0.9862285256385804,0.996159851551056,7.862993926158466,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Thermolysin_gte_0.90.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Thermolysin_gte_0.90.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Thermolysin_gte_0.90.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,Thermolysin,Thermolysin,Thermolysin,>= 0.95,>= 0.95,267570,267570,0.9917839169502258,0.9967925548553468,7.840288522629592,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Thermolysin_gte_0.95.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Thermolysin_gte_0.95.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Thermolysin_gte_0.95.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,Papain,Papain,Papain,< 0.50,< 0.50,97663,97663,0.1980296969413757,0.1561570763587951,6.436204089573328,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Papain_lt_0.50.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Papain_lt_0.50.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Papain_lt_0.50.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,Papain,Papain,Papain,>= 0.50,>= 0.50,238367,238367,0.9061796069145204,0.9849358797073364,6.868412993409323,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Papain_gte_0.50.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Papain_gte_0.50.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Papain_gte_0.50.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,Papain,Papain,Papain,>= 0.90,>= 0.90,169386,169386,0.9839224219322203,0.9952377080917358,6.80230361423022,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Papain_gte_0.90.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Papain_gte_0.90.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Papain_gte_0.90.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,Papain,Papain,Papain,>= 0.95,>= 0.95,150928,150928,0.9908000230789183,0.9963873624801636,6.766405173327679,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Papain_gte_0.95.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Papain_gte_0.95.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Papain_gte_0.95.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
Umami,Virtual hydrolysate fragments from 21,249 proteins across 60 species,Virtual hydrolysate screening,Pepsin,Pepsin (pH=1.3),Pepsin (pH=1.3),< 0.50,< 0.50,94781,94781,0.2243002355098724,0.1973501592874527,8.509764615270994,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Pepsin_lt_0.50.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Pepsin_lt_0.50.csv.gz,umami/virtual_digest/download_files/by_hydrolysis_method/umami_probability_Pepsin_lt_0.50.csv.gz,umami/virtual_digest/tables/hydrolysis_method_umami_summary.csv,,Ready
