method_id,method_name,tier_id,display_probability,count,download_file,relative_path,mean_final_prob,median_final_prob,mean_length
Papain,Papain,gte_0.90,>= 0.90,169386,umami_probability_Papain_gte_0.90.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_Papain_gte_0.90.csv.gz,0.9839224219322205,0.9952377080917358,6.80230361423022
Papain,Papain,gte_0.95,>= 0.95,150928,umami_probability_Papain_gte_0.95.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_Papain_gte_0.95.csv.gz,0.9908000230789185,0.9963873624801636,6.766405173327679
Pepsin,Pepsin (pH=1.3),lt_0.50,< 0.50,94781,umami_probability_Pepsin_lt_0.50.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_Pepsin_lt_0.50.csv.gz,0.22430023550987244,0.1973501592874527,8.509764615270994
Pepsin,Pepsin (pH=1.3),gte_0.50,>= 0.50,342615,umami_probability_Pepsin_gte_0.50.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_Pepsin_gte_0.50.csv.gz,0.8978691697120667,0.9761636257171631,9.665887366285773
Pepsin,Pepsin (pH=1.3),gte_0.90,>= 0.90,231564,umami_probability_Pepsin_gte_0.90.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_Pepsin_gte_0.90.csv.gz,0.9815412163734436,0.9933817386627197,9.171235597934048
Pepsin,Pepsin (pH=1.3),gte_0.95,>= 0.95,201903,umami_probability_Pepsin_gte_0.95.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_Pepsin_gte_0.95.csv.gz,0.9894976019859314,0.9951514601707458,8.983095843053347
Chymotrypsin,Chymotrypsin,lt_0.50,< 0.50,61376,umami_probability_Chymotrypsin_lt_0.50.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_Chymotrypsin_lt_0.50.csv.gz,0.2429041713476181,0.2254420518875122,6.81830031282586
Chymotrypsin,Chymotrypsin,gte_0.50,>= 0.50,396979,umami_probability_Chymotrypsin_gte_0.50.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_Chymotrypsin_gte_0.50.csv.gz,0.9251366853713989,0.9885168075561523,8.241874255313252
Chymotrypsin,Chymotrypsin,gte_0.90,>= 0.90,302666,umami_probability_Chymotrypsin_gte_0.90.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_Chymotrypsin_gte_0.90.csv.gz,0.9839082360267639,0.9949008822441101,8.191531258879424
Chymotrypsin,Chymotrypsin,gte_0.95,>= 0.95,270605,umami_probability_Chymotrypsin_gte_0.95.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_Chymotrypsin_gte_0.95.csv.gz,0.9905690550804138,0.9959975481033325,8.141667744498438
Trypsin,Trypsin,lt_0.50,< 0.50,54647,umami_probability_Trypsin_lt_0.50.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_Trypsin_lt_0.50.csv.gz,0.2662414312362671,0.26641249656677246,9.90541109301517
Trypsin,Trypsin,gte_0.50,>= 0.50,331457,umami_probability_Trypsin_gte_0.50.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_Trypsin_gte_0.50.csv.gz,0.9134504199028015,0.982060432434082,10.030338776975595
Trypsin,Trypsin,gte_0.90,>= 0.90,240405,umami_probability_Trypsin_gte_0.90.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_Trypsin_gte_0.90.csv.gz,0.9816503524780273,0.9933403730392456,9.457923088122127
Trypsin,Trypsin,gte_0.95,>= 0.95,210084,umami_probability_Trypsin_gte_0.95.csv.gz,results/virtual_digest_analysis/download_files/by_hydrolysis_method/umami_probability_Trypsin_gte_0.95.csv.gz,0.9894527792930603,0.9950947761535645,9.259743721558996
