hydrolysis_count,N,Reported,No_reported,Final_lt_0_50,Final_gte_0_50,Final_gte_0_85,Final_gte_0_90,Final_gte_0_95,Final_gte_0_99,Final_gte_0_999,Mean_Final_Prob,Median_Final_Prob,Mean_Length,Final_Positive_Rate_0_50
1,1898678,101,1898577,337774,1560904,1214650,1131864,1002518,693897,66595,0.7918975503674004,0.96253513,8.67816027783542,0.822100429878052
2,345398,65,345333,52559,292839,246651,235095,216097,167207,29835,0.8278183322291216,0.988257325,6.715004140151362,0.8478306185907272
3,60229,54,60175,10140,50089,42360,40498,37545,30101,7363,0.8166509039415798,0.9899746,5.575918577429477,0.8316425642132528
4,12711,35,12676,2105,10606,9144,8791,8253,6878,2388,0.8253558428679647,0.99371403,4.715758004877665,0.8343954055542444
5,3229,31,3198,429,2800,2483,2389,2264,1935,758,0.8544754646687829,0.99670446,4.161969650046454,0.8671415298854135
6,804,33,771,121,683,590,569,536,457,196,0.8386998179029851,0.9956351,3.5522388059701493,0.849502487562189
7,218,38,180,44,174,149,139,134,117,53,0.7951051690000001,0.992972065,2.770642201834862,0.7981651376146789
8,54,12,42,11,43,41,38,36,28,12,0.8225046509814814,0.9917708999999999,2.259259259259259,0.7962962962962963
9,21,3,18,3,18,15,15,13,11,3,0.8084122900000003,0.99220604,2.0,0.8571428571428571
